ID,FK_ZAEHLER,DATE,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT
344199,Y2G13124877,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344200,Y2G13124876,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344201,Y0410090357,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344202,U15G6121229,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344203,Y2G13124878,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344204,Y2G13124879,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344205,Y2H18106793,2019-04-08 05:00:00,0.0,1.0,0.0,0.0
344206,U15G3063873,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344207,Y2G14045586,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344208,Y2H18106792,2019-04-08 05:00:00,0.0,1.0,0.0,0.0
344209,Y2G14045587,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344210,U15G3063864,2019-04-08 05:00:00,0.0,0.0,0.0,3.0
344211,YPH15108550,2019-04-08 05:00:00,0.0,0.0,0.0,0.0
344212,ECO09113499,2019-04-08 05:00:00,1.0,0.0,0.0,0.0
344213,ECO09113503,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344214,U15G3063865,2019-04-08 05:15:00,0.0,0.0,1.0,0.0
344215,ECO09113499,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344216,Y2H16039396,2019-04-08 05:15:00,3.0,2.0,0.0,0.0
344217,U15G3063866,2019-04-08 05:15:00,0.0,0.0,8.0,1.0
344218,Y2H16069942,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344219,Y2H16069943,2019-04-08 05:15:00,2.0,1.0,0.0,0.0
344220,U15G3063867,2019-04-08 05:15:00,0.0,0.0,1.0,5.0
344221,U15G3063869,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344222,U15G3063870,2019-04-08 05:15:00,0.0,0.0,4.0,4.0
344223,YSH18065716,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344224,U15G3104442,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344225,U15G3063872,2019-04-08 05:15:00,0.0,0.0,0.0,2.0
344226,U15G3104443,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344227,U15G3104445,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344228,U15G3104444,2019-04-08 05:15:00,0.0,0.0,6.0,3.0
344229,U15G3104446,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344230,ECO09113506,2019-04-08 05:15:00,0.0,2.0,0.0,0.0
344231,Y2G13124875,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344232,Y0412032046,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344233,Y2G13124877,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344234,Y2G13124876,2019-04-08 05:15:00,1.0,1.0,0.0,0.0
344235,Y0410090357,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344236,U15G6121229,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344237,Y2G13124878,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344238,Y2H18106793,2019-04-08 05:15:00,3.0,2.0,0.0,0.0
344239,U15G3063873,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344240,Y2G13124879,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344241,Y2G14045586,2019-04-08 05:15:00,3.0,0.0,0.0,0.0
344242,Y2H18106792,2019-04-08 05:15:00,1.0,0.0,0.0,0.0
344243,Y2G14045587,2019-04-08 05:15:00,1.0,0.0,0.0,0.0
344244,YPH15108550,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344245,U15G3063864,2019-04-08 05:15:00,0.0,0.0,0.0,0.0
344246,ECO09022739,2019-04-08 05:15:00,1.0,0.0,0.0,0.0
344247,ECO09113503,2019-04-08 05:30:00,3.0,0.0,0.0,0.0
344248,U15G3063865,2019-04-08 05:30:00,0.0,0.0,4.0,3.0
344249,ECO09113499,2019-04-08 05:30:00,2.0,0.0,0.0,0.0
344250,Y2H16039396,2019-04-08 05:30:00,2.0,1.0,0.0,0.0
344251,U15G3063866,2019-04-08 05:30:00,0.0,0.0,17.0,2.0
344252,Y2H16069942,2019-04-08 05:30:00,0.0,0.0,0.0,0.0
344253,Y2H16069943,2019-04-08 05:30:00,2.0,0.0,0.0,0.0
344254,U15G3063867,2019-04-08 05:30:00,0.0,0.0,2.0,3.0
344255,U15G3063869,2019-04-08 05:30:00,0.0,0.0,0.0,2.0
344256,U15G3063870,2019-04-08 05:30:00,0.0,0.0,2.0,5.0
344257,YSH18065716,2019-04-08 05:30:00,0.0,0.0,0.0,0.0
344258,U15G3104442,2019-04-08 05:30:00,0.0,0.0,0.0,1.0
344259,U15G3063872,2019-04-08 05:30:00,0.0,0.0,2.0,5.0
344260,U15G3104443,2019-04-08 05:30:00,0.0,0.0,0.0,0.0
344261,U15G3104445,2019-04-08 05:30:00,0.0,0.0,2.0,0.0
344262,U15G3104444,2019-04-08 05:30:00,0.0,0.0,5.0,5.0
344263,U15G3104446,2019-04-08 05:30:00,0.0,0.0,0.0,1.0
344264,ECO09113506,2019-04-08 05:30:00,1.0,0.0,0.0,0.0
344265,Y2G13124875,2019-04-08 05:30:00,0.0,3.0,0.0,0.0
344266,Y0412032046,2019-04-08 05:30:00,0.0,0.0,0.0,0.0
344267,Y2G13124877,2019-04-08 05:30:00,1.0,0.0,0.0,0.0
344268,Y2G13124876,2019-04-08 05:30:00,2.0,0.0,0.0,0.0
344269,Y0410090357,2019-04-08 05:30:00,1.0,1.0,0.0,1.0
344270,U15G6121229,2019-04-08 05:30:00,0.0,0.0,0.0,0.0
344271,Y2G13124878,2019-04-08 05:30:00,0.0,0.0,0.0,0.0
344272,Y2H18106793,2019-04-08 05:30:00,3.0,3.0,0.0,0.0
344273,U15G3063873,2019-04-08 05:30:00,0.0,0.0,1.0,0.0
344274,Y2G13124879,2019-04-08 05:30:00,1.0,0.0,0.0,0.0
344275,Y2G14045586,2019-04-08 05:30:00,2.0,0.0,0.0,0.0
